0.186442,0.570298,0.589428,1.700608,1.168457,2.751668,2.187041,2.117249,2.656588,1.012927
0.194744,0.567516,0.616246,1.691054,1.226826,2.724104,2.248306,2.094358,2.738082,0.998859
0.203115,0.564574,0.643267,1.680937,1.285105,2.694862,2.309938,2.070588,2.819890,0.984332
0.211572,0.561460,0.670548,1.670217,1.343271,2.663919,2.371888,2.045900,2.901991,0.969335
0.220133,0.558159,0.698144,1.658843,1.401304,2.631245,2.434110,2.020252,2.984371,0.953850
0.228816,0.554656,0.726112,1.646763,1.459190,2.596813,2.496559,1.993600,3.067017,0.937862
0.237641,0.550933,0.754508,1.633914,1.516922,2.560589,2.559193,1.965887,3.149915,0.921354
0.246627,0.546969,0.783389,1.620229,1.574493,2.522534,2.621975,1.937057,3.233057,0.904304
0.255793,0.542743,0.812811,1.605631,1.631905,2.482606,2.684869,1.907048,3.316434,0.886692
0.265158,0.538230,0.842829,1.590036,1.689162,2.440754,2.747846,1.875787,3.400043,0.868493
0.274743,0.533401,0.873500,1.573348,1.746270,2.396921,2.810878,1.843199,3.483879,0.849684
0.284570,0.528223,0.904877,1.555462,1.803239,2.351041,2.873943,1.809199,3.567943,0.830238
0.294659,0.522662,0.937014,1.536260,1.860080,2.303039,2.937019,1.773697,3.652232,0.810125
0.305034,0.516676,0.969966,1.515608,1.916810,2.252824,3.000093,1.736591,3.736753,0.789314
0.315718,0.510218,1.003785,1.493358,1.973444,2.200296,3.063153,1.697769,3.821508,0.767769
0.326736,0.503233,1.038520,1.469341,2.029999,2.145335,3.126190,1.657107,3.906503,0.745454
0.338113,0.495661,1.074221,1.443366,2.086497,2.087802,3.189199,1.614465,3.991747,0.722323
0.349879,0.487427,1.110934,1.415218,2.142956,2.027533,3.252180,1.569687,4.077248,0.698330
0.362061,0.478447,1.148703,1.384645,2.199399,1.964332,3.315133,1.522588,4.163018,0.673416
0.374691,0.468622,1.187567,1.351364,2.255848,1.897968,3.378064,1.472960,4.249067,0.647518
0.387804,0.457830,1.227563,1.315037,2.312327,1.828153,3.440982,1.420553,4.335411,0.620555
0.401434,0.445926,1.268721,1.275272,2.368857,1.754544,3.503895,1.365072,4.422062,0.592433
0.415622,0.432733,1.311067,1.231594,2.425463,1.676704,3.566817,1.306150,4.509036,0.563033
0.430410,0.418028,1.354618,1.183429,2.482165,1.594084,3.629762,1.243338,4.596348,0.532204
0.445844,0.401526,1.399385,1.130058,2.538987,1.505968,3.692744,1.176052,4.684015,0.499751
0.461974,0.382857,1.445372,1.070556,2.595948,1.411399,3.755782,1.103525,4.772052,0.465406
0.478858,0.361517,1.492574,1.003686,2.653069,1.309056,3.818892,1.024701,4.860476,0.428796
0.496557,0.336795,1.540977,0.927715,2.710367,1.197026,3.882091,0.938063,4.949304,0.389375
0.515140,0.307620,1.590560,0.840041,2.767857,1.072362,3.945397,0.841278,5.038549,0.346284
0.534685,0.272235,1.641294,0.736365,2.825555,0.930085,4.008826,0.730415,5.128229,0.298051
0.555277,0.227306,1.693141,0.608442,2.883470,0.760482,4.072393,0.597808,5.218355,0.241756
0.577012,0.164490,1.746059,0.435285,2.941616,0.538454,4.136113,0.423665,5.308941,0.169746
0.6,0,1.8,0,3,0,4.2,0,5.4,0
